STATE,STNAME,CTYNAME,fips,state,Year,Population,Year_datetime
AL,Alabama,Autauga County,1001.0,AL,2002,45157,2002-01-01
AL,Alabama,Baldwin County,1003.0,AL,2002,148141,2002-01-01
AL,Alabama,Barbour County,1005.0,AL,2002,29289,2002-01-01
AL,Alabama,Bibb County,1007.0,AL,2002,20983,2002-01-01
AL,Alabama,Blount County,1009.0,AL,2002,52775,2002-01-01
AL,Alabama,Bullock County,1011.0,AL,2002,11261,2002-01-01
AL,Alabama,Butler County,1013.0,AL,2002,20607,2002-01-01
AL,Alabama,Calhoun County,1015.0,AL,2002,110860,2002-01-01
AL,Alabama,Chambers County,1017.0,AL,2002,35952,2002-01-01
AL,Alabama,Cherokee County,1019.0,AL,2002,24143,2002-01-01
AL,Alabama,Chilton County,1021.0,AL,2002,40460,2002-01-01
AL,Alabama,Choctaw County,1023.0,AL,2002,15342,2002-01-01
AL,Alabama,Clarke County,1025.0,AL,2002,27273,2002-01-01
AL,Alabama,Clay County,1027.0,AL,2002,14173,2002-01-01
AL,Alabama,Cleburne County,1029.0,AL,2002,14376,2002-01-01
AL,Alabama,Coffee County,1031.0,AL,2002,43759,2002-01-01
AL,Alabama,Colbert County,1033.0,AL,2002,54594,2002-01-01
AL,Alabama,Conecuh County,1035.0,AL,2002,13699,2002-01-01
AL,Alabama,Coosa County,1037.0,AL,2002,11539,2002-01-01
AL,Alabama,Covington County,1039.0,AL,2002,36661,2002-01-01
AL,Alabama,Crenshaw County,1041.0,AL,2002,13580,2002-01-01
AL,Alabama,Cullman County,1043.0,AL,2002,77814,2002-01-01
AL,Alabama,Dale County,1045.0,AL,2002,49070,2002-01-01
AL,Alabama,Dallas County,1047.0,AL,2002,44944,2002-01-01
AL,Alabama,DeKalb County,1049.0,AL,2002,65545,2002-01-01
AL,Alabama,Elmore County,1051.0,AL,2002,68822,2002-01-01
AL,Alabama,Escambia County,1053.0,AL,2002,38319,2002-01-01
AL,Alabama,Etowah County,1055.0,AL,2002,102815,2002-01-01
AL,Alabama,Fayette County,1057.0,AL,2002,18244,2002-01-01
AL,Alabama,Franklin County,1059.0,AL,2002,30766,2002-01-01
AL,Alabama,Geneva County,1061.0,AL,2002,25458,2002-01-01
AL,Alabama,Greene County,1063.0,AL,2002,9840,2002-01-01
AL,Alabama,Hale County,1065.0,AL,2002,18047,2002-01-01
AL,Alabama,Henry County,1067.0,AL,2002,16326,2002-01-01
AL,Alabama,Houston County,1069.0,AL,2002,89849,2002-01-01
AL,Alabama,Jackson County,1071.0,AL,2002,53648,2002-01-01
AL,Alabama,Jefferson County,1073.0,AL,2002,659766,2002-01-01
AL,Alabama,Lamar County,1075.0,AL,2002,15317,2002-01-01
AL,Alabama,Lauderdale County,1077.0,AL,2002,86872,2002-01-01
AL,Alabama,Lawrence County,1079.0,AL,2002,34643,2002-01-01
AL,Alabama,Lee County,1081.0,AL,2002,118197,2002-01-01
AL,Alabama,Limestone County,1083.0,AL,2002,67108,2002-01-01
AL,Alabama,Lowndes County,1085.0,AL,2002,13459,2002-01-01
AL,Alabama,Macon County,1087.0,AL,2002,23651,2002-01-01
AL,Alabama,Madison County,1089.0,AL,2002,286037,2002-01-01
AL,Alabama,Marengo County,1091.0,AL,2002,22161,2002-01-01
AL,Alabama,Marion County,1093.0,AL,2002,30235,2002-01-01
AL,Alabama,Marshall County,1095.0,AL,2002,82922,2002-01-01
AL,Alabama,Mobile County,1097.0,AL,2002,398417,2002-01-01
AL,Alabama,Monroe County,1099.0,AL,2002,23803,2002-01-01
AL,Alabama,Montgomery County,1101.0,AL,2002,222936,2002-01-01
AL,Alabama,Morgan County,1103.0,AL,2002,111397,2002-01-01
AL,Alabama,Perry County,1105.0,AL,2002,11521,2002-01-01
AL,Alabama,Pickens County,1107.0,AL,2002,20708,2002-01-01
AL,Alabama,Pike County,1109.0,AL,2002,29279,2002-01-01
AL,Alabama,Randolph County,1111.0,AL,2002,22429,2002-01-01
AL,Alabama,Russell County,1113.0,AL,2002,49188,2002-01-01
AL,Alabama,St. Clair County,1115.0,AL,2002,67090,2002-01-01
AL,Alabama,Shelby County,1117.0,AL,2002,153918,2002-01-01
AL,Alabama,Sumter County,1119.0,AL,2002,14143,2002-01-01
AL,Alabama,Talladega County,1121.0,AL,2002,80247,2002-01-01
AL,Alabama,Tallapoosa County,1123.0,AL,2002,40947,2002-01-01
AL,Alabama,Tuscaloosa County,1125.0,AL,2002,166610,2002-01-01
AL,Alabama,Walker County,1127.0,AL,2002,70097,2002-01-01
AL,Alabama,Washington County,1129.0,AL,2002,17795,2002-01-01
AL,Alabama,Wilcox County,1131.0,AL,2002,12928,2002-01-01
AL,Alabama,Winston County,1133.0,AL,2002,24468,2002-01-01
AK,Alaska,Aleutians East Borough,2013.0,AK,2002,2640,2002-01-01
AK,Alaska,Aleutians West Census Area,2016.0,AK,2002,5170,2002-01-01
AK,Alaska,Anchorage Municipality,2020.0,AK,2002,268163,2002-01-01
AK,Alaska,Bethel Census Area,2050.0,AK,2002,16541,2002-01-01
