State,County,Year,Month,MME,CALC_BASE_WT_IN_GM,STNAME,fips,state,Population,Year_datetime,_merge,Opioid per capita,Months from Policy Change
AR,arkansas,2007,1,442562.676,391.446689,Arkansas,5001.0,AR,19315,2007-01-01,both,22.912900647165415,0
AR,arkansas,2007,2,461946.5625,404.727475,Arkansas,5001.0,AR,19315,2007-01-01,both,23.916467123996895,1
AR,arkansas,2007,3,475362.8235,405.801449,Arkansas,5001.0,AR,19315,2007-01-01,both,24.611070333937356,2
AR,arkansas,2007,4,443998.3875,396.596225,Arkansas,5001.0,AR,19315,2007-01-01,both,22.98723207351799,3
AR,arkansas,2007,5,508201.1625,445.603425,Arkansas,5001.0,AR,19315,2007-01-01,both,26.311217318146518,4
AR,arkansas,2007,6,581720.025,490.2773,Arkansas,5001.0,AR,19315,2007-01-01,both,30.117526533782037,5
AR,arkansas,2007,7,482899.65,425.6583,Arkansas,5001.0,AR,19315,2007-01-01,both,25.00127621019933,6
AR,arkansas,2007,8,534826.6125,475.007675,Arkansas,5001.0,AR,19315,2007-01-01,both,27.689702951074295,7
AR,arkansas,2007,9,439829.7375,380.952375,Arkansas,5001.0,AR,19315,2007-01-01,both,22.771407584778668,8
AR,arkansas,2007,10,534334.6125,471.602225,Arkansas,5001.0,AR,19315,2007-01-01,both,27.664230520320995,9
AR,arkansas,2007,11,534178.1625,467.411475,Arkansas,5001.0,AR,19315,2007-01-01,both,27.65613059798084,10
AR,arkansas,2007,12,515184.4875,455.455325,Arkansas,5001.0,AR,19315,2007-01-01,both,26.672766632151177,11
AR,arkansas,2008,1,547728.3375,490.823175,Arkansas,5001.0,AR,19146,2008-01-01,both,28.60797751488562,12
AR,ashley,2007,1,342720.375,315.15335,Arkansas,5003.0,AR,22258,2007-01-01,both,15.397626696019408,0
AR,ashley,2007,2,338907.9675,312.349405,Arkansas,5003.0,AR,22258,2007-01-01,both,15.226344123461228,1
AR,ashley,2007,3,396676.89386250003,352.531917575,Arkansas,5003.0,AR,22258,2007-01-01,both,17.821767178654866,2
AR,ashley,2007,4,356090.22750000004,327.29034,Arkansas,5003.0,AR,22258,2007-01-01,both,15.998302969718754,3
AR,ashley,2007,5,362700.6413625,340.631977575,Arkansas,5003.0,AR,22258,2007-01-01,both,16.295293438875913,4
AR,ashley,2007,6,391545.555,365.90583000000004,Arkansas,5003.0,AR,22258,2007-01-01,both,17.591228097762603,5
AR,ashley,2007,7,390542.025,371.4018,Arkansas,5003.0,AR,22258,2007-01-01,both,17.546141836643006,6
AR,ashley,2007,8,372455.35500000004,344.35028,Arkansas,5003.0,AR,22258,2007-01-01,both,16.733549959565103,7
AR,ashley,2007,9,418495.1213625,378.272257575,Arkansas,5003.0,AR,22258,2007-01-01,both,18.802009226457905,8
AR,ashley,2007,10,461670.825,426.03535,Arkansas,5003.0,AR,22258,2007-01-01,both,20.741792838529967,9
AR,ashley,2007,11,376439.4,349.99295,Arkansas,5003.0,AR,22258,2007-01-01,both,16.912543804474797,10
AR,ashley,2007,12,444748.4625,404.966475,Arkansas,5003.0,AR,22258,2007-01-01,both,19.98151058046545,11
AR,ashley,2008,1,415692.22500000003,378.93625000000003,Arkansas,5003.0,AR,22186,2008-01-01,both,18.736690931217886,12
AR,baxter,2007,1,1056092.6515875,855.265462725,Arkansas,5005.0,AR,41845,2007-01-01,both,25.238204124447364,0
AR,baxter,2007,2,1162908.249225,913.2075111500001,Arkansas,5005.0,AR,41845,2007-01-01,both,27.790853130003583,1
AR,baxter,2007,3,859598.8768625,720.601764575,Arkansas,5005.0,AR,41845,2007-01-01,both,20.542451352909545,2
AR,baxter,2007,4,963113.6365875,772.786662725,Arkansas,5005.0,AR,41845,2007-01-01,both,23.01621786563508,3
AR,baxter,2007,5,882435.4063125,752.863215875,Arkansas,5005.0,AR,41845,2007-01-01,both,21.088192288505198,4
AR,baxter,2007,6,886180.4717250001,736.04766615,Arkansas,5005.0,AR,41845,2007-01-01,both,21.17769080475565,5
AR,baxter,2007,7,1002643.323725,826.7156241499999,Arkansas,5005.0,AR,41845,2007-01-01,both,23.960887172302545,6
AR,baxter,2007,8,1277438.27595,1027.1965623,Arkansas,5005.0,AR,41845,2007-01-01,both,30.527859384633764,7
AR,baxter,2007,9,1006811.8003625,831.558013575,Arkansas,5005.0,AR,41845,2007-01-01,both,24.060504250507826,8
AR,baxter,2007,10,903025.1485875,760.651745725,Arkansas,5005.0,AR,41845,2007-01-01,both,21.580240138308042,9
AR,baxter,2007,11,1040597.434725,840.31409815,Arkansas,5005.0,AR,41845,2007-01-01,both,24.867903805114114,10
AR,baxter,2007,12,1141508.9168625,926.623204575,Arkansas,5005.0,AR,41845,2007-01-01,both,27.27945792478193,11
AR,baxter,2008,1,1270253.719725,1042.12271815,Arkansas,5005.0,AR,41946,2008-01-01,both,30.283071561650694,12
AR,benton,2007,1,5119918.284225,3927.41480615,Arkansas,5007.0,AR,210963,2007-01-01,both,24.269271314045593,0
AR,benton,2007,2,4063632.5625,3150.16768,Arkansas,5007.0,AR,210963,2007-01-01,both,19.262299846418568,1
AR,benton,2007,3,4571299.3755,3528.926817,Arkansas,5007.0,AR,210963,2007-01-01,both,21.668725679384536,2
AR,benton,2007,4,4073910.7568625,3189.161504575,Arkansas,5007.0,AR,210963,2007-01-01,both,19.31102021142333,3
AR,benton,2007,5,4731058.6418625,3712.898969575,Arkansas,5007.0,AR,210963,2007-01-01,both,22.4260113947114,4
AR,benton,2007,6,4214709.8295,3279.697853,Arkansas,5007.0,AR,210963,2007-01-01,both,19.97843142873395,5
AR,benton,2007,7,4416178.8203625,3455.480413575,Arkansas,5007.0,AR,210963,2007-01-01,both,20.933428233209142,6
AR,benton,2007,8,4431968.3325000005,3452.980565,Arkansas,5007.0,AR,210963,2007-01-01,both,21.008273168754712,7
AR,benton,2007,9,4223500.7998625,3287.122316575,Arkansas,5007.0,AR,210963,2007-01-01,both,20.02010210256064,8
AR,benton,2007,10,5353495.7113625,4115.774107575,Arkansas,5007.0,AR,210963,2007-01-01,both,25.376467491278092,9
AR,benton,2007,11,4878566.7825,3772.4669049999998,Arkansas,5007.0,AR,210963,2007-01-01,both,23.125224719500576,10
AR,benton,2007,12,4360762.0275,3433.166385,Arkansas,5007.0,AR,210963,2007-01-01,both,20.670743341249413,11
AR,benton,2008,1,5055847.648,3933.889532,Arkansas,5007.0,AR,219494,2008-01-01,both,23.0341041121853,12
AR,boone,2007,1,1014591.3300000001,813.10363,Arkansas,5009.0,AR,36653,2007-01-01,both,27.680990096308626,0
AR,boone,2007,2,967671.8985,770.785549,Arkansas,5009.0,AR,36653,2007-01-01,both,26.400892109786376,1
AR,boone,2007,3,1057041.9173625,828.897466575,Arkansas,5009.0,AR,36653,2007-01-01,both,28.83916507141298,2
AR,boone,2007,4,1096582.0125,866.765175,Arkansas,5009.0,AR,36653,2007-01-01,both,29.917933388808553,3
AR,boone,2007,5,1200100.0185,937.880944,Arkansas,5009.0,AR,36653,2007-01-01,both,32.74220441710092,4
AR,boone,2007,6,1092069.3338625,871.314132575,Arkansas,5009.0,AR,36653,2007-01-01,both,29.79481444527051,5
AR,boone,2007,7,1274998.8215,995.3404859999999,Arkansas,5009.0,AR,36653,2007-01-01,both,34.78566069625952,6
AR,boone,2007,8,1194600.075,945.73205,Arkansas,5009.0,AR,36653,2007-01-01,both,32.59215002864704,7
AR,boone,2007,9,1110912.6368625,868.146024575,Arkansas,5009.0,AR,36653,2007-01-01,both,30.30891432795406,8
AR,boone,2007,10,1134948.441,898.8508439999999,Arkansas,5009.0,AR,36653,2007-01-01,both,30.964680680981097,9
AR,boone,2007,11,1189942.761,943.837974,Arkansas,5009.0,AR,36653,2007-01-01,both,32.46508501350503,10
AR,boone,2007,12,1113541.116,877.667644,Arkansas,5009.0,AR,36653,2007-01-01,both,30.380626851826587,11
AR,boone,2008,1,1300083.4898625,1012.522826575,Arkansas,5009.0,AR,36863,2008-01-01,both,35.26797845705721,12
AR,bradley,2007,1,154722.7875,136.142825,Arkansas,5011.0,AR,11964,2007-01-01,both,12.932362713139419,0
AR,bradley,2007,2,93616.05,91.82305,Arkansas,5011.0,AR,11964,2007-01-01,both,7.824811935807422,1
AR,bradley,2007,3,148332.86250000002,130.066675,Arkansas,5011.0,AR,11964,2007-01-01,both,12.398266675025077,2
AR,bradley,2007,4,128396.8125,116.675075,Arkansas,5011.0,AR,11964,2007-01-01,both,10.73193016549649,3
AR,bradley,2007,5,129979.3875,119.647225,Arkansas,5011.0,AR,11964,2007-01-01,both,10.864208249749247,4
AR,bradley,2007,6,163972.761,148.716624,Arkansas,5011.0,AR,11964,2007-01-01,both,13.705513289869609,5
AR,bradley,2007,7,134287.23750000002,126.151525,Arkansas,5011.0,AR,11964,2007-01-01,both,11.224275952858576,6
AR,bradley,2007,8,176941.3065,158.926271,Arkansas,5011.0,AR,11964,2007-01-01,both,14.789477306920762,7
AR,bradley,2007,9,126381.45000000001,116.7441,Arkansas,5011.0,AR,11964,2007-01-01,both,10.563477933801405,8
AR,bradley,2007,10,153360.29700000002,139.926348,Arkansas,5011.0,AR,11964,2007-01-01,both,12.818480190571718,9
AR,bradley,2007,11,146378.9625,138.601825,Arkansas,5011.0,AR,11964,2007-01-01,both,12.234951730190572,10
AR,bradley,2007,12,131404.5675,118.125295,Arkansas,5011.0,AR,11964,2007-01-01,both,10.983330616850552,11
AR,bradley,2008,1,138668.397,129.627248,Arkansas,5011.0,AR,11899,2008-01-01,both,11.653785780317673,12
AR,calhoun,2007,1,114820.1625,98.795225,Arkansas,5013.0,AR,5473,2007-01-01,both,20.97938287959072,0
AR,calhoun,2007,2,63744.0345,62.928273000000004,Arkansas,5013.0,AR,5473,2007-01-01,both,11.647000639503014,1
AR,calhoun,2007,3,147151.386,128.219574,Arkansas,5013.0,AR,5473,2007-01-01,both,26.886787136853645,2
AR,calhoun,2007,4,92983.1955,78.031897,Arkansas,5013.0,AR,5473,2007-01-01,both,16.989438242280286,3
AR,calhoun,2007,5,128752.647,111.46369800000001,Arkansas,5013.0,AR,5473,2007-01-01,both,23.52505883427736,4
AR,calhoun,2007,6,115824.8955,104.459597,Arkansas,5013.0,AR,5473,2007-01-01,both,21.16296281746757,5
AR,calhoun,2007,7,138900.4785,112.023569,Arkansas,5013.0,AR,5473,2007-01-01,both,25.379221359400695,6
AR,calhoun,2007,8,137177.3955,122.226097,Arkansas,5013.0,AR,5473,2007-01-01,both,25.06438799561484,7
AR,calhoun,2007,9,94891.6455,86.215847,Arkansas,5013.0,AR,5473,2007-01-01,both,17.338140964735977,8
AR,calhoun,2007,10,115729.647,106.060948,Arkansas,5013.0,AR,5473,2007-01-01,both,21.145559473780377,9
AR,calhoun,2007,11,100285.42050000001,88.247747,Arkansas,5013.0,AR,5473,2007-01-01,both,18.323665357208114,10
AR,calhoun,2007,12,100038.85800000001,92.371622,Arkansas,5013.0,AR,5473,2007-01-01,both,18.278614653754797,11
AR,calhoun,2008,1,114788.505,100.59032,Arkansas,5013.0,AR,5324,2008-01-01,both,21.560575694966193,12
AR,carroll,2007,1,977907.636,752.838424,Arkansas,5015.0,AR,27278,2007-01-01,both,35.84968238140626,0
AR,carroll,2007,2,699699.642,560.051178,Arkansas,5015.0,AR,27278,2007-01-01,both,25.650694405748222,1
AR,carroll,2007,3,957086.1645,742.781553,Arkansas,5015.0,AR,27278,2007-01-01,both,35.08637599897353,2
AR,carroll,2007,4,1138082.799,855.0309159999999,Arkansas,5015.0,AR,27278,2007-01-01,both,41.721636446953596,3
AR,carroll,2007,5,1154219.0175,889.28296,Arkansas,5015.0,AR,27278,2007-01-01,both,42.31318342620427,4
AR,carroll,2007,6,1001086.8345,782.164973,Arkansas,5015.0,AR,27278,2007-01-01,both,36.699422043404944,5
AR,carroll,2007,7,1054973.409,805.719016,Arkansas,5015.0,AR,27278,2007-01-01,both,38.67488118630398,6
AR,carroll,2007,8,977682.4778625,769.987623575,Arkansas,5015.0,AR,27278,2007-01-01,both,35.841428178843756,7
AR,carroll,2007,9,906261.0593625,707.894194575,Arkansas,5015.0,AR,27278,2007-01-01,both,33.22314903447833,8
AR,carroll,2007,10,1067211.984225,830.10783115,Arkansas,5015.0,AR,27278,2007-01-01,both,39.12354220342401,9
AR,carroll,2007,11,1288203.2138625,984.927142575,Arkansas,5015.0,AR,27278,2007-01-01,both,47.224987677340714,10
AR,carroll,2007,12,1091812.4978625,852.2140685749999,Arkansas,5015.0,AR,27278,2007-01-01,both,40.02538668020016,11
AR,carroll,2008,1,1057620.4838625,834.176827575,Arkansas,5015.0,AR,27486,2008-01-01,both,38.47851574847195,12
AR,chicot,2007,1,304698.75,289.9065,Arkansas,5017.0,AR,12308,2007-01-01,both,24.75615453363666,0
AR,chicot,2007,2,268199.4375,247.916125,Arkansas,5017.0,AR,12308,2007-01-01,both,21.79065953038674,1
AR,chicot,2007,3,248573.175,240.28055,Arkansas,5017.0,AR,12308,2007-01-01,both,20.19606556711082,2
AR,chicot,2007,4,249509.5125,237.070575,Arkansas,5017.0,AR,12308,2007-01-01,both,20.272141087097822,3
AR,chicot,2007,5,285860.4735,270.940499,Arkansas,5017.0,AR,12308,2007-01-01,both,23.225582832304195,4
AR,chicot,2007,6,235236.975,226.4961,Arkansas,5017.0,AR,12308,2007-01-01,both,19.11252640558986,5
